fecha,hora,consumo,met_obtencion,datetime
2021-08-10,1,0.494,Real,2021-08-10 01:00:00
2021-08-10,2,0.458,Real,2021-08-10 02:00:00
2021-08-10,3,0.417,Real,2021-08-10 03:00:00
2021-08-10,4,0.469,Real,2021-08-10 04:00:00
2021-08-10,5,0.449,Real,2021-08-10 05:00:00
2021-08-10,6,0.423,Real,2021-08-10 06:00:00
2021-08-10,7,0.521,Real,2021-08-10 07:00:00
2021-08-10,8,0.397,Real,2021-08-10 08:00:00
2021-08-10,9,0.485,Real,2021-08-10 09:00:00
2021-08-10,10,0.467,Real,2021-08-10 10:00:00
2021-08-10,11,0.47,Real,2021-08-10 11:00:00
2021-08-10,12,0.453,Real,2021-08-10 12:00:00
2021-08-10,13,0.388,Real,2021-08-10 13:00:00
2021-08-10,14,0.459,Real,2021-08-10 14:00:00
2021-08-10,15,0.399,Real,2021-08-10 15:00:00
2021-08-10,16,0.597,Real,2021-08-10 16:00:00
2021-08-10,17,0.506,Real,2021-08-10 17:00:00
2021-08-10,18,0.405,Real,2021-08-10 18:00:00
2021-08-10,19,0.575,Real,2021-08-10 19:00:00
2021-08-10,20,0.442,Real,2021-08-10 20:00:00
2021-08-10,21,0.38,Real,2021-08-10 21:00:00
2021-08-10,22,0.429,Real,2021-08-10 22:00:00
2021-08-10,23,0.59,Real,2021-08-10 23:00:00
2021-08-10,24,0.546,Real,2021-08-11 00:00:00
2021-08-11,1,0.406,Real,2021-08-11 01:00:00
2021-08-11,2,0.387,Real,2021-08-11 02:00:00
2021-08-11,3,0.404,Real,2021-08-11 03:00:00
2021-08-11,4,0.417,Real,2021-08-11 04:00:00
2021-08-11,5,0.415,Real,2021-08-11 05:00:00
2021-08-11,6,0.364,Real,2021-08-11 06:00:00
2021-08-11,7,0.399,Real,2021-08-11 07:00:00
2021-08-11,8,0.381,Real,2021-08-11 08:00:00
2021-08-11,9,0.936,Real,2021-08-11 09:00:00
2021-08-11,10,0.55,Real,2021-08-11 10:00:00
2021-08-11,11,0.417,Real,2021-08-11 11:00:00
2021-08-11,12,0.379,Real,2021-08-11 12:00:00
2021-08-11,13,0.423,Real,2021-08-11 13:00:00
2021-08-11,14,0.538,Real,2021-08-11 14:00:00
2021-08-11,15,0.579,Real,2021-08-11 15:00:00
2021-08-11,16,0.407,Real,2021-08-11 16:00:00
2021-08-11,17,0.429,Real,2021-08-11 17:00:00
2021-08-11,18,0.479,Real,2021-08-11 18:00:00
2021-08-11,19,0.396,Real,2021-08-11 19:00:00
2021-08-11,20,0.395,Real,2021-08-11 20:00:00
2021-08-11,21,0.445,Real,2021-08-11 21:00:00
2021-08-11,22,0.512,Real,2021-08-11 22:00:00
2021-08-11,23,0.501,Real,2021-08-11 23:00:00
2021-08-11,24,0.432,Real,2021-08-12 00:00:00
2021-08-12,1,0.404,Real,2021-08-12 01:00:00
2021-08-12,2,0.394,Real,2021-08-12 02:00:00
2021-08-12,3,0.453,Real,2021-08-12 03:00:00
2021-08-12,4,0.37,Real,2021-08-12 04:00:00
2021-08-12,5,0.391,Real,2021-08-12 05:00:00
2021-08-12,6,0.368,Real,2021-08-12 06:00:00
2021-08-12,7,0.408,Real,2021-08-12 07:00:00
2021-08-12,8,0.44,Real,2021-08-12 08:00:00
2021-08-12,9,0.401,Real,2021-08-12 09:00:00
2021-08-12,10,0.368,Real,2021-08-12 10:00:00
2021-08-12,11,0.401,Real,2021-08-12 11:00:00
2021-08-12,12,0.486,Real,2021-08-12 12:00:00
2021-08-12,13,0.39,Real,2021-08-12 13:00:00
2021-08-12,14,0.389,Real,2021-08-12 14:00:00
2021-08-12,15,0.816,Real,2021-08-12 15:00:00
2021-08-12,16,0.823,Real,2021-08-12 16:00:00
2021-08-12,17,0.64,Real,2021-08-12 17:00:00
2021-08-12,18,0.429,Real,2021-08-12 18:00:00
2021-08-12,19,0.391,Real,2021-08-12 19:00:00
2021-08-12,20,0.441,Real,2021-08-12 20:00:00
2021-08-12,21,0.46,Real,2021-08-12 21:00:00
2021-08-12,22,0.407,Real,2021-08-12 22:00:00
2021-08-12,23,0.448,Real,2021-08-12 23:00:00
2021-08-12,24,0.48,Real,2021-08-13 00:00:00
2021-08-13,1,0.456,Real,2021-08-13 01:00:00
