fecha,hora,consumo,met_obtencion,datetime
2023-05-13,1,0.274,Estimado,2023-05-13 01:00:00
2023-05-13,2,0.229,Estimado,2023-05-13 02:00:00
2023-05-13,3,0.138,Estimado,2023-05-13 03:00:00
2023-05-13,4,0.043,Estimado,2023-05-13 04:00:00
2023-05-13,5,0.042,Estimado,2023-05-13 05:00:00
2023-05-13,6,0.034,Estimado,2023-05-13 06:00:00
2023-05-13,7,0.034,Estimado,2023-05-13 07:00:00
2023-05-13,8,0.042,Estimado,2023-05-13 08:00:00
2023-05-13,9,0.041,Estimado,2023-05-13 09:00:00
2023-05-13,10,0.034,Estimado,2023-05-13 10:00:00
2023-05-13,11,0.037,Estimado,2023-05-13 11:00:00
2023-05-13,12,0.094,Estimado,2023-05-13 12:00:00
2023-05-13,13,0.2,Estimado,2023-05-13 13:00:00
2023-05-13,14,0.193,Estimado,2023-05-13 14:00:00
2023-05-13,15,0.211,Estimado,2023-05-13 15:00:00
2023-05-13,16,0.576,Estimado,2023-05-13 16:00:00
2023-05-13,17,0.381,Estimado,2023-05-13 17:00:00
2023-05-13,18,0.211,Estimado,2023-05-13 18:00:00
2023-05-13,19,0.06,Estimado,2023-05-13 19:00:00
2023-05-13,20,0.274,Estimado,2023-05-13 20:00:00
2023-05-13,21,0.565,Estimado,2023-05-13 21:00:00
2023-05-13,22,0.546,Estimado,2023-05-13 22:00:00
2023-05-13,23,0.494,Estimado,2023-05-13 23:00:00
2023-05-13,24,0.402,Estimado,2023-05-14 00:00:00
2023-05-14,1,0.282,Estimado,2023-05-14 01:00:00
2023-05-14,2,0.278,Estimado,2023-05-14 02:00:00
2023-05-14,3,0.262,Estimado,2023-05-14 03:00:00
2023-05-14,4,0.037,Estimado,2023-05-14 04:00:00
2023-05-14,5,0.047,Estimado,2023-05-14 05:00:00
2023-05-14,6,0.036,Estimado,2023-05-14 06:00:00
2023-05-14,7,0.077,Estimado,2023-05-14 07:00:00
2023-05-14,8,0.073,Estimado,2023-05-14 08:00:00
2023-05-14,9,0.032,Estimado,2023-05-14 09:00:00
2023-05-14,10,0.045,Estimado,2023-05-14 10:00:00
2023-05-14,11,0.038,Estimado,2023-05-14 11:00:00
2023-05-14,12,0.261,Estimado,2023-05-14 12:00:00
2023-05-14,13,0.208,Estimado,2023-05-14 13:00:00
2023-05-14,14,0.2,Estimado,2023-05-14 14:00:00
2023-05-14,15,0.208,Estimado,2023-05-14 15:00:00
2023-05-14,16,0.209,Estimado,2023-05-14 16:00:00
2023-05-14,17,0.855,Estimado,2023-05-14 17:00:00
2023-05-14,18,0.217,Estimado,2023-05-14 18:00:00
2023-05-14,19,0.226,Estimado,2023-05-14 19:00:00
2023-05-14,20,0.202,Estimado,2023-05-14 20:00:00
2023-05-14,21,0.206,Estimado,2023-05-14 21:00:00
2023-05-14,22,0.213,Estimado,2023-05-14 22:00:00
2023-05-14,23,0.226,Estimado,2023-05-14 23:00:00
2023-05-14,24,0.217,Estimado,2023-05-15 00:00:00
2023-05-15,1,0.25,Estimado,2023-05-15 01:00:00
2023-05-15,2,0.511,Estimado,2023-05-15 02:00:00
2023-05-15,3,0.054,Estimado,2023-05-15 03:00:00
2023-05-15,4,0.043,Estimado,2023-05-15 04:00:00
2023-05-15,5,0.04,Estimado,2023-05-15 05:00:00
2023-05-15,6,0.038,Estimado,2023-05-15 06:00:00
2023-05-15,7,0.039,Estimado,2023-05-15 07:00:00
