fecha,hora,consumo,met_obtencion,datetime
2021-08-21,1,1.427,Real,2021-08-21 01:00:00
2021-08-21,2,0.122,Real,2021-08-21 02:00:00
2021-08-21,3,0.315,Real,2021-08-21 03:00:00
2021-08-21,4,0.13,Real,2021-08-21 04:00:00
2021-08-21,5,0.23,Real,2021-08-21 05:00:00
2021-08-21,6,0.22,Real,2021-08-21 06:00:00
2021-08-21,7,0.269,Real,2021-08-21 07:00:00
2021-08-21,8,0.402,Real,2021-08-21 08:00:00
2021-08-21,9,0.124,Real,2021-08-21 09:00:00
2021-08-21,10,0.175,Real,2021-08-21 10:00:00
2021-08-21,11,0.602,Real,2021-08-21 11:00:00
2021-08-21,12,1.231,Real,2021-08-21 12:00:00
2021-08-21,13,0.283,Real,2021-08-21 13:00:00
2021-08-21,14,0.428,Real,2021-08-21 14:00:00
2021-08-21,15,1.847,Real,2021-08-21 15:00:00
2021-08-21,16,0.341,Real,2021-08-21 16:00:00
2021-08-21,17,0.238,Real,2021-08-21 17:00:00
2021-08-21,18,0.18,Real,2021-08-21 18:00:00
2021-08-21,19,1.551,Real,2021-08-21 19:00:00
2021-08-21,20,1.253,Real,2021-08-21 20:00:00
2021-08-21,21,0.488,Real,2021-08-21 21:00:00
2021-08-21,22,0.862,Real,2021-08-21 22:00:00
2021-08-21,23,0.912,Real,2021-08-21 23:00:00
2021-08-21,24,0.752,Real,2021-08-22 00:00:00
2021-08-22,1,1.053,Real,2021-08-22 01:00:00
2021-08-22,2,0.462,Real,2021-08-22 02:00:00
2021-08-22,3,0.236,Real,2021-08-22 03:00:00
2021-08-22,4,0.484,Real,2021-08-22 04:00:00
2021-08-22,5,0.719,Real,2021-08-22 05:00:00
2021-08-22,6,0.117,Real,2021-08-22 06:00:00
2021-08-22,7,0.282,Real,2021-08-22 07:00:00
2021-08-22,8,0.127,Real,2021-08-22 08:00:00
2021-08-22,9,0.326,Real,2021-08-22 09:00:00
2021-08-22,10,0.169,Real,2021-08-22 10:00:00
